episode,rewards_total
1,-1.56632363847
2,0.089757301929
3,-1.38354849214
4,7.01937917441
5,14.544100915
6,19.8062811844
7,18.5394671414
8,15.5679272232
9,9.0936307531
10,17.2345558402
11,0.493934246463
12,6.33363584249
13,11.0334846463
14,8.86019972153
15,5.90856604867
16,16.496286952
17,17.6781942661
18,16.2134642435
19,20.5644396079
20,22.5812902933
21,19.7861755092
22,18.7827092972
23,23.1858072254
24,17.8396490335
25,16.6927968378
26,19.3421239914
27,20.0616330249
28,19.2135255672
29,16.9936178355
30,20.3147982353
31,19.019905358
32,17.3881519142
33,16.5232902884
34,23.7202786474
35,15.0768959205
36,16.5501947767
37,20.2982840717
38,16.6496753678
39,18.798824184
40,16.3134742815
41,18.427629154
42,18.174287401
43,18.3887617204
44,19.7344202435
45,18.8244251134
46,14.5272505519
47,13.0845781408
48,19.064476277
49,19.6817637967
50,14.541411309
51,17.2736793453
52,16.3061740586
53,19.9039987602
54,15.638757277
55,15.9209456169
56,17.3930774101
57,17.873658417
58,14.45341928
59,14.1499232743
60,14.5351754379
61,10.9826687114
62,8.79254885545
63,14.4362292341
64,10.8530238051
65,7.97199210131
66,20.2980149204
67,20.3150862346
68,21.1067752481
69,21.2487697676
70,21.3660618864
71,21.2931701078
72,21.2803229652
73,20.9364448281
74,20.9710182554
75,22.4835324973
76,20.6812050345
77,20.8818178095
78,21.3974521302
79,21.3331401454
80,23.1365507275
81,16.3016385086
82,17.059474672
83,18.6985327691
84,18.4730027623
85,14.4364455342
86,14.3077829526
87,12.083503388
88,12.2341259177
89,16.172811141
90,14.6857125729
91,15.4984069665
92,15.0939338053
93,18.6524357853
94,12.379080383
95,15.264636343
96,14.0057939555
97,13.7096356897
98,18.5489205615
99,23.3194738973
100,23.734983212
